,car_model,hp_kW,Displacement_cc,km,age,Gearing_Type,cons_comb,price
282,Audi A1,70.0,999.0,22500.0,2.0,Automatic,4.2,17500
283,Audi A1,85.0,1598.0,44585.0,3.0,Automatic,3.8,15420
284,Audi A1,70.0,999.0,32750.0,3.0,Automatic,4.4,15250
285,Audi A1,66.0,1422.0,61980.0,3.0,Automatic,3.8,15250
286,Audi A1,70.0,999.0,37500.0,2.0,Automatic,4.6,15190
287,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
288,Audi A1,66.0,1422.0,49600.0,3.0,Automatic,3.9,15200
289,Audi A1,85.0,1598.0,76275.0,3.0,Automatic,4.0,15180
290,Audi A1,85.0,1598.0,46900.0,3.0,Automatic,4.0,15380
291,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
292,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
293,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
294,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
295,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
296,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
297,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
298,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
299,Audi A1,70.0,999.0,10000.0,3.0,Automatic,4.4,14250
300,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
301,Audi A1,66.0,1422.0,49466.0,3.0,Automatic,4.1,14450
302,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
303,Audi A1,70.0,999.0,48800.0,3.0,Automatic,4.6,14470
304,Audi A1,85.0,1598.0,94300.0,3.0,Automatic,3.8,14350
305,Audi A1,70.0,999.0,18600.0,3.0,Automatic,4.7,14210
306,Audi A1,66.0,1422.0,67278.0,3.0,Automatic,3.6,14300
307,Audi A1,66.0,1422.0,69850.0,3.0,Automatic,3.8,13892
308,Audi A1,85.0,1598.0,46000.0,3.0,Automatic,4.0,13990
309,Audi A1,70.0,999.0,10000.0,3.0,Automatic,4.4,13950
310,Audi A1,66.0,1422.0,108000.0,3.0,Automatic,3.8,13900
311,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
312,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
313,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
314,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
315,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
316,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
317,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
318,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
319,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
320,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
321,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
322,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
323,Audi A1,70.0,999.0,35367.0,3.0,Automatic,4.4,14990
324,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
325,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
326,Audi A1,85.0,1598.0,63668.0,3.0,Automatic,3.5,15090
327,Audi A1,85.0,1598.0,78000.0,2.0,Automatic,3.9,15000
328,Audi A1,85.0,1598.0,137066.0,3.0,Automatic,4.0,14998
329,Audi A1,85.0,1598.0,34000.0,3.0,Automatic,4.1,14990
330,Audi A1,70.0,999.0,9600.0,2.0,Automatic,4.6,14990
331,Audi A1,66.0,1422.0,88800.0,3.0,Automatic,3.8,13880
332,Audi A1,66.0,1422.0,59150.0,3.0,Automatic,3.4,13500
333,Audi A1,66.0,1422.0,110375.0,3.0,Automatic,3.8,13480
334,Audi A1,70.0,999.0,26310.0,1.0,Automatic,4.4,13450
335,Audi A1,70.0,999.0,65000.0,3.0,Automatic,4.4,13250
336,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
337,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
338,Audi A1,66.0,1422.0,58380.0,3.0,Automatic,3.8,13599
339,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
340,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
341,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
342,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
343,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
344,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
345,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
346,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
347,Audi A1,85.0,1598.0,31100.0,3.0,Automatic,3.8,15700
348,Audi A1,92.0,1395.0,79244.0,3.0,Automatic,4.6,15680
349,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
350,Audi A1,85.0,1598.0,58722.0,3.0,Automatic,3.8,15750
351,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
352,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
353,Audi A1,70.0,999.0,11725.0,3.0,Automatic,4.4,15660
354,Audi A1,85.0,1598.0,41600.0,3.0,Automatic,3.8,15750
355,Audi A1,85.0,1598.0,56000.0,3.0,Automatic,3.9,11000
356,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
357,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
358,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
359,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
360,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
361,Audi A1,66.0,1422.0,60000.0,3.0,Automatic,3.6,14990
362,Audi A1,66.0,1422.0,49351.0,3.0,Automatic,4.0,14990
363,Audi A1,70.0,999.0,56967.0,3.0,Automatic,4.4,14959
364,Audi A1,70.0,999.0,56967.0,3.0,Automatic,4.4,14959
365,Audi A1,92.0,1395.0,87300.0,3.0,Automatic,4.9,14930
366,Audi A1,70.0,999.0,86698.0,3.0,Automatic,4.4,14930
367,Audi A1,66.0,1422.0,70000.0,3.0,Automatic,3.8,14950
